,Listing Type,Address,Prices,Lat,Lon,Zip,Sq Ft,Beds,Baths,Price per Square Foot
4358,For Sale,"6353 Iris Way in Alta Vista Area, Arvada, 80004",420000.0,39.811518,-105.107594,80004.0,2292.0,5.0,3,183.2460732984293
4359,For Sale,"6690 Balsam St in Scenic Heights, Arvada, 80004",999916.0,39.816095,-105.087898,80004.0,4240.0,4.0,4,235.82924528301888
4360,For Sale,"6172 Carr St in Alta Vista Area, Arvada, 80004",509999.0,39.80844,-105.090457,80004.0,2422.0,4.0,3,210.5693641618497
4361,For Sale,"11186 W 64th Pl in Northwest Arvada, Arvada, 80004",479000.0,39.814334,-105.123306,80004.0,2873.0,4.0,3,166.72467803689523
4363,For Sale,"6472 Simms St Apt D in Allendale Area, Arvada, 80004",375000.0,39.814738,-105.128112,80004.0,1073.0,2.0,2,349.4874184529357
4364,For Sale,"7147 Wright Ct in Northwest Arvada, Arvada, 80004",469000.0,39.826193,-105.139839,80004.0,1728.0,4.0,2,271.412037037037
4365,For Sale,"6363 Brooks Dr in Alta Vista Area, Arvada, 80004",510000.0,39.811794,-105.109186,80004.0,2290.0,5.0,3,222.707423580786
4366,For Sale,"6388 Oak Ct Apt 307 in Allendale Area, Arvada, 80004",235900.0,39.812239,-105.119799,80004.0,915.0,1.0,1,257.8142076502732
4367,For Sale,"10772 W 67th Pl in Alta Vista Area, Arvada, 80004",429000.0,39.818635,-105.118227,80004.0,2690.0,4.0,3,159.47955390334573
4368,For Sale,"8870 W 63rd Ave in Scenic Heights, Arvada, 80004",477000.0,39.812086,-105.096226,80004.0,2718.0,4.0,4,175.49668874172184
4369,For Sale,"8562 W 67th Ave in Scenic Heights, Arvada, 80004",440000.0,39.818129,-105.091891,80004.0,2800.0,5.0,4,157.14285714285714
4370,For Sale,"5839 Taft Ct in Allendale Area, Arvada, 80004",435000.0,39.803032,-105.132079,80004.0,2436.0,4.0,2,178.57142857142858
4371,For Sale,"7163 Vivian Ct in Northwest Arvada, Arvada, 80004",399500.0,39.826094,-105.137484,80004.0,2006.0,5.0,3,199.15254237288136
4372,For Sale,"6197 Xenon St in Meadow Lake Estates, Arvada, 80004",432500.0,39.808871,-105.140623,80004.0,2000.0,3.0,2,216.25
4373,For Sale,"12740 W 67th Way in Northwest Arvada, Arvada, 80004",395000.0,39.819155,-105.141851,80004.0,2164.0,3.0,3,182.53234750462107
4374,For Sale,"11940 W 68th Ave in Northwest Arvada, Arvada, 80004",559000.0,39.821024,-105.132211,80004.0,2535.0,5.0,4,220.51282051282053
4375,For Sale,"6991 Oak St in Northwest Arvada, Arvada, 80004",425000.0,39.823611,-105.119352,80004.0,2408.0,3.0,2,176.49501661129568
4376,For Sale,"13564 W 67th Way, Arvada, 80004",450000.0,39.820849,-105.151353,80004.0,2224.0,4.0,3,202.33812949640287
4377,For Sale,"10042 W 69th Pl in Northwest Arvada, Arvada, 80004",1125000.0,39.822587,-105.110191,80004.0,5012.0,4.0,4,224.4612928970471
4378,For Sale,"5808 Urban St in Allendale Area, Arvada, 80004",230000.0,39.802348,-105.133416,80004.0,858.0,2.0,1,268.06526806526807
4379,For Sale,"8079 W 70th Dr in Scenic Heights, Arvada, 80004",600000.0,39.823799,-105.086038,80004.0,3423.0,4.0,4,175.28483786152498
4380,For Sale,"7147 Holman St in Northwest Arvada, Arvada, 80004",564181.0,39.8136,-105.1201,80004.0,3874.0,3.0,2,145.6326794011358
4381,For Sale,"9080 W 64th Pl in Scenic Heights, Arvada, 80004",789000.0,39.813854,-105.099109,80004.0,3000.0,4.0,3,263.0
